ID	Protein	Name
2641133999	Can2	
2641812051	Can2	
2646769691	Can2	
2647196955	Can2	
2647350685	Can2	
2648019388	Can2	
2649240284	Can2	
2649872815	Can2	
2650094785	Can2	
2651422852	Can2	
2654630552	Can2	
2691369322	Can2	
2742125111	Can2	
2769251026	Can2	
2794217412	Can2	
2794224992	Can2	
2794246465	Can2	
2794251940	Can2	
2794256574	Can2	
2794258299	Can2	
2794263935	Can2	
2794270509	Can2	
2794276251	Can2	
2794278336	Can2	
2794285070	Can2	
2794289855	Can2	
2794300139	Can2	
2794305228	Can2	
2794310313	Can2	
2794314309	Can2	
2794317883	Can2	
2794322924	Can2	
2794327359	Can2	
2794334331	Can2	
2794338185	Can2	
2794345114	Can2	
2794358616	Can2	
WP_061031798.1	Can2	
WP_063522306.1	Can2	
WP_193846524.1	Can2	
WP_146491828.1	Can2	
WP_010439869.1	Can2	
WP_032549507.1	Can2	
WP_102429147.1	Can2	
WP_050622023.1	Can2	
WP_017632175.1	Can2	
WP_048609362.1	Can2	
WP_046223783.1	Can2	
WP_004736271.1	Can2	
WP_017060218.1	Can2	
WP_017065293.1	Can2	
WP_009847162.1	Can2	
WP_102394220.1	Can2	
WP_136979427.1	Can2	
WP_017107627.1	Can2	
WP_136982257.1	Can2	
WP_086049734.1	Can2	
WP_102310777.1	Can2	
WP_021704159.1	Can2	
WP_068639101.1	Can2	
NZ_CP018835.1_2888	Can2	
2549986062	Can2	
2549994092	Can2	
2549998539	Can2	
2550004033	Can2	
2550005991	Can2	
2550009520	Can2	
2550017212	Can2	
2550019724	Can2	
2550025354	Can2	
2550030788	Can2	
2550036441	Can2	
2550040430	Can2	
2550043052	Can2	
2550047654	Can2	
2550052683	Can2	
2550055506	Can2	
2550059317	Can2	
2550067414	Can2	
2550069565	Can2	
2550075923	Can2	
2570775692	Can2	
2586952240	Can2	
WP_102402334.1	Can2	
WP_150871733.1	Can2	
WP_016786291.1	Can2	
NZ_AP014635.1_1987	Can2	
NC_022528.1_999	Can2	
NZ_AP024087.1_2314	Can2	
2525298015	Can2	
2628651890	Can2	
2639551647	Can2	
2714138255	Can2	
2758042831	Can2	
2769235259	Can2	
2792236838	Can2	
WP_161673457.1	Can2	
WP_128161344.1	Can2	
WP_060468069.1	Can2	
WP_093269120.1	Can2	
WP_107300095.1	Can2	
WP_047883424.1	Can2	
WP_107349615.1	Can2	
WP_039466084.1	Can2	
WP_044623759.1	Can2	
WP_068332192.1	Can2	
WP_036818594.1	Can2	
WP_009601655.1	Can2	
WP_046219382.1	Can2	
WP_027252620.1	Can2	
WP_068899734.1	Can2	
NZ_LT960611.1_1603	Can2	
638894526	Can2	
643521793	Can2	
2529784950	Can2	
2549794586	Can2	
2551559724	Can2	
2551585251	Can2	
2551607474	Can2	
2551608618	Can2	
2551615727	Can2	
2551621487	Can2	
2551626121	Can2	
2551629783	Can2	
2551634121	Can2	
2551641377	Can2	
2551644394	Can2	
2551649658	Can2	
2551657089	Can2	
2551658881	Can2	
2649120153	Can2	
2650742510	Can2	
2652972910	Can2	
2685022225	Can2	
2685026569	Can2	
2728228215	Can2	
2728947141	Can2	
2728951720	Can2	
2728976157	Can2	
2769244526	Can2	
2772953921	Can2	
2807732032	Can2	
2807734412	Can2	
2807741168	Can2	
2807745008	Can2	
2807752247	Can2	
2807754531	Can2	
2807767917	Can2	
2807774645	Can2	
2807780682	Can2	
WP_136980096.1	Can2	
WP_017057016.1	Can2	
WP_150878193.1	Can2	
WP_116870277.1	Can2	
WP_077680630.1	Can2	
WP_004741946.1	Can2	
WP_061018939.1	Can2	
WP_060982861.1	Can2	
WP_137025840.1	Can2	
WP_102556308.1	Can2	
WP_102512287.1	Can2	
WP_102433724.1	Can2	
WP_102569338.1	Can2	
WP_019822442.1	Can2	
WP_076676729.1	Can2	
WP_102446125.1	Can2	
WP_102517604.1	Can2	
WP_102491453.1	Can2	
WP_017109957.1	Can2	
WP_107285132.1	Can2	
WP_065172589.1	Can2	
WP_136038988.1	Can2	
WP_044175206.1	Can2	
WP_115059602.1	Can2	
WP_005298554.1	Can2	
WP_151171318.1	Can2	
2649992712	Can2	
2769242231	Can2	
2772787750	Can2	
2772789216	Can2	
WP_048900194.1	Can2	
WP_065168241.1	Can2	
WP_076585002.1	Can2	
WP_061000102.1	Can2	
WP_062690779.1	Can2	
WP_086712221.1	Can2	
2551490327	Can2	
2551514324	Can2	
2551520683	Can2	
2551534711	Can2	
2640489359	Can2	
2646640700	Can2	
2648261356	Can2	
2649111999	Can2	
2651373751	Can2	
2651490684	Can2	
2684792350	Can2	
2684997244	Can2	
2707445228	Can2	
2781246320	Can2	
2781251258	Can2	
2781356070	Can2	
2781361670	Can2	
2781365287	Can2	
2781369795	Can2	
2781373816	Can2	
2781378341	Can2	
2781456301	Can2	
2781466073	Can2	
2781470022	Can2	
2781477692	Can2	
2781480506	Can2	
2781484524	Can2	
2781489840	Can2	
2781495105	Can2	
2781498636	Can2	
2781504163	Can2	
2782165001	Can2	
2782170783	Can2	
2782173897	Can2	
2782176875	Can2	
2782182046	Can2	
2782187431	Can2	
2782192408	Can2	
2782197877	Can2	
2782205122	Can2	
2782208639	Can2	
2782213453	Can2	
2782217789	Can2	
2782225488	Can2	
2782228303	Can2	
2782236340	Can2	
2782240979	Can2	
2782245756	Can2	
2782278360	Can2	
2782282998	Can2	
2782323137	Can2	
2782333391	Can2	
2784163945	Can2	
2784168061	Can2	
2784173328	Can2	
2784179797	Can2	
2784182641	Can2	
2784186797	Can2	
2784191906	Can2	
2784286218	Can2	
2784292141	Can2	
2784295882	Can2	
2784300033	Can2	
2784335728	Can2	
2784341956	Can2	
2786724039	Can2	
WP_123301761.1	Can2	
WP_132968929.1	Can2	
WP_123322186.1	Can2	
WP_017068094.1	Can2	
WP_210473791.1	Can2	
WP_017072106.1	Can2	
WP_036793974.1	Can2	
WP_058119643.1	Can2	
NC_008750.1_280	Can2	
2772419265	Can2	
2772423996	Can2	
2772805116	Can2	
2772874376	Can2	
WP_045030860.1	Can2	
WP_107264921.1	Can2	
WP_077336878.1	Can2	
NC_019970.1_881	Can2	
NC_009523.1_4345	Can2	
WP_194745348.1	Can2	
2521836103	Can2	
WP_018158309.1	Can2	
NZ_CP065707.1_1205	Can2	
2733378651	Can2	
WP_039089754.1	Can2	
WP_039162757.1	Can2	
WP_215641850.1	Can2	
WP_165650311.1	Can2	
WP_165658147.1	Can2	
WP_170126113.1	Can2	
WP_165658946.1	Can2	
WP_040859016.1	Can2	
NZ_CP059378.1_45	Can2	
NZ_CP014049.2_1621	Can2	
NZ_CP019290.1_895	Can2	
NC_004459.3_1856	Can2	
NC_005139.1_2193	Can2	
NC_014965.1_914	Can2	
NZ_CP009261.1_2070	Can2	
NZ_CP009984.1_815	Can2	
NZ_CP011775.1_1960	Can2	
NZ_CP019320.1_2368	Can2	
NZ_CP027030.1_895	Can2	
NZ_CP035731.1_811	Can2	
NZ_CP037931.1_1988	Can2	
NZ_CP044206.1_1638	Can2	
NZ_CP051117.1_2019	Can2	
NZ_CP046835.1_1610	Can2	
NZ_CP060047.1_730	Can2	
NZ_CP012881.1_2230	Can2	
NZ_CP014636.1_928	Can2	
NZ_CP016321.1_1941	Can2	
NZ_CP017635.1_212	Can2	
NZ_CP035784.1_758	Can2	
NZ_CP044069.1_2100	Can2	
NZ_CP046832.1_969	Can2	
NZ_CM001799.1_1843	Can2	
NZ_CP012739.1_862	Can2	
NZ_CP019121.1_2067	Can2	
NZ_CP051101.1_1164	Can2	
NZ_CP046791.1_1061	Can2	
NZ_CP035680.1_2531	Can2	
NZ_CP051121.1_378	Can2	
NZ_CP046797.1_341	Can2	
NC_016602.1_2300	Can2	
NZ_CP035696.1_2335	Can2	
NZ_CP040990.1_1413	Can2	
NZ_CP046795.1_1641	Can2	
NZ_CP046853.1_635	Can2	
NZ_CP051103.1_2157	Can2	
NZ_CP072001.1_2117	Can2	
NZ_CP072003.1_2114	Can2	
NZ_HG992751.1_2492	Can2	
NZ_HG992742.1_2483	Can2	
NC_016613.1_892	Can2	
NZ_CP009977.1_1679	Can2	
NZ_CP016345.1_906	Can2	
NZ_CP016349.1_1006	Can2	
NZ_CP016351.1_1051	Can2	
NZ_CP028943.1_891	Can2	
NZ_CP016347.1_916	Can2	
NZ_HG992749.1_912	Can2	
NZ_HG992758.1_928	Can2	
NC_022349.1_28	Can2	
NZ_CP014040.1_664	Can2	
NZ_CP014045.1_2072	Can2	
NZ_CP013484.1_29	Can2	
NZ_CP014053.1_2972	Can2	
NZ_CP016224.1_746	Can2	
NZ_CP032213.1_896	Can2	
NZ_CP035700.1_931	Can2	
NZ_CP042449.1_582	Can2	
NZ_CP046772.1_1054	Can2	
NZ_CP046806.1_2884	Can2	
NZ_CP046814.1_1217	Can2	
NZ_CP051109.1_931	Can2	
NZ_CP054700.1_386	Can2	
NZ_CP060589.1_2244	Can2	
NZ_CP071058.1_28	Can2	
NZ_CP017889.1_933	Can2	
NZ_CP017891.1_939	Can2	
NZ_CP017896.1_909	Can2	
NZ_CP017899.1_909	Can2	
NZ_CP017902.1_932	Can2	
NZ_CP017907.1_940	Can2	
NZ_CP017911.1_909	Can2	
NZ_CP017913.1_909	Can2	
NZ_CP017919.1_651	Can2	
NZ_CP060386.1_2165	Can2	
NZ_CP035684.1_908	Can2	
NZ_CP046793.1_729	Can2	
NZ_CP046822.1_1043	Can2	
NZ_CP045699.1_1313	Can2	
2581037556	Can2	
WP_171756601.1	Can2	
WP_101115231.1	Can2	
WP_190334251.1	Can2	
WP_059120495.1	Can2	
WP_039982822.1	Can2	
WP_163139607.1	Can2	
NZ_CP014033.1_400	Can2	
NZ_CP019118.1_1785	Can2	
NZ_CP051108.1_55	Can2	
NZ_CP051116.1_1476	Can2	
NC_009783.1_1373	Can2	
NC_022269.1_1159	Can2	
NZ_CP015863.1_965	Can2	
NZ_CP019634.1_1063	Can2	
NZ_CP021145.1_2337	Can2	
NZ_CP025953.1_1101	Can2	
NZ_CP026315.1_318	Can2	
NZ_CP026321.1_2110	Can2	
NZ_CP030788.1_866	Can2	
NZ_CP033134.1_920	Can2	
NZ_CP046800.1_658	Can2	
NZ_CP053664.1_946	Can2	
NZ_CP019293.1_2214	Can2	
NZ_CP020076.1_2292	Can2	
NZ_CP014035.2_1533	Can2	
NZ_CP035779.1_2150	Can2	
NZ_CP046756.1_2562	Can2	
NZ_CP046855.1_1825	Can2	
NZ_CP046857.1_595	Can2	
NZ_CP051105.1_379	Can2	
NZ_CP051126.1_1789	Can2	
NZ_CP072005.1_1754	Can2	
NZ_CP072007.1_1759	Can2	
NZ_CP072009.1_1742	Can2	
NZ_CP073273.1_925	Can2	
NZ_CP009467.1_1114	Can2	
NZ_CP014038.2_2794	Can2	
NZ_CP018680.2_141	Can2	
NZ_CP025537.1_25	Can2	
NZ_CP035693.1_200	Can2	
NZ_CP045070.1_2211	Can2	
NZ_CP051122.1_1793	Can2	
NZ_AP018680.1_1046	Can2	
WP_089138613.1	Can2	
WP_021020095.1	Can2	
WP_072960984.1	Can2	
NZ_CP018616.1_902	Can2	
NZ_CP025792.1_1081	Can2	
NZ_CP018617.1_438	Can2	
2574303652	Can2	
2672408180	Can2	
WP_068714129.1	Can2	
WP_022550202.1	Can2	
WP_200765701.1	Can2	
WP_089122702.1	Can2	
WP_087479558.1	Can2	
WP_027696170.1	Can2	
WP_038178548.1	Can2	
WP_221071593.1	Can2	
NZ_AP019798.1_986	Can2	
NZ_CP018312.1_1796	Can2	
NZ_CP019959.1_699	Can2	
NZ_CP025796.1_1112	Can2	
NZ_CP033137.1_1645	Can2	
NZ_CP033144.1_2073	Can2	
NZ_CP045859.1_2286	Can2	
NZ_CP016177.1_948	Can2	
WP_102522342.1	Can2	
WP_126608367.1	Can2	
WP_104400712.1	Can2	
NZ_CP011458.1_1055	Can2	
NZ_CP031535.1_1050	Can2	
NZ_CP023310.1_1882	Can2	
NC_015633.1_1232	Can2	
NC_022223.1_1230	Can2	
NZ_CP010030.1_1183	Can2	
NZ_CP010032.1_1186	Can2	
NZ_CP010034.1_1188	Can2	
NZ_CP010036.1_1181	Can2	
NZ_CP010038.1_1189	Can2	
NZ_CP010040.1_1184	Can2	
NZ_CP010042.1_1189	Can2	
NZ_CP010044.1_1182	Can2	
NZ_CP010046.1_1178	Can2	
NZ_CP010076.1_1189	Can2	
NZ_CP010078.1_1183	Can2	
NZ_CP010080.1_1117	Can2	
NZ_CP010082.1_1190	Can2	
NZ_CP010084.1_1093	Can2	
NZ_CP010291.1_1189	Can2	
NZ_CP011436.1_1187	Can2	
NZ_CP011438.1_1189	Can2	
NZ_CP011460.1_1600	Can2	
NZ_CP011462.1_1130	Can2	
NZ_CP011464.1_1119	Can2	
NZ_CP011466.1_1118	Can2	
NZ_CP011468.1_1183	Can2	
NZ_CP011472.1_1131	Can2	
NZ_CP016095.1_1740	Can2	
NZ_CP020534.1_1083	Can2	
NZ_CP021980.1_1788	Can2	
NZ_CP022099.1_1526	Can2	
NZ_CP022101.1_1659	Can2	
NZ_CP022103.1_1758	Can2	
NZ_CP022468.1_1726	Can2	
NZ_CP023054.1_1828	Can2	
NZ_CP023208.1_1012	Can2	
NZ_CP023289.1_1114	Can2	
NZ_CP023291.1_1113	Can2	
NZ_CP023293.1_1114	Can2	
NZ_CP023433.1_1114	Can2	
NZ_CP031479.1_1119	Can2	
NZ_CP031481.1_1066	Can2	
NZ_CP031483.1_1065	Can2	
NZ_CP031485.1_1065	Can2	
NZ_CP031487.1_1066	Can2	
NZ_CP031488.1_1067	Can2	
NZ_CP031490.1_1065	Can2	
NZ_CP031492.1_1065	Can2	
NZ_CP031494.1_1066	Can2	
NZ_CP031496.1_1065	Can2	
NZ_CP031498.1_1065	Can2	
NZ_CP031519.1_1181	Can2	
NZ_CP031523.1_1176	Can2	
NZ_CP031527.1_1178	Can2	
NZ_CP031531.1_1182	Can2	
NZ_CP034672.1_369	Can2	
NZ_LK021130.1_1786	Can2	
NZ_CP011470.1_1192	Can2	
NC_014758.1_1613	Can2	
WP_061568355.1	Can2	
WP_011958674.1	Can2	
2751103894	Can2	
WP_038805094.1	Can2	
2535988564	Can2	
2535995998	Can2	
WP_071193262.1	Can2	
WP_035255342.1	Can2	
WP_073021725.1	Can2	
WP_021803955.1	Can2	
WP_181601999.1	Can2	
2720692672	Can2	
WP_061058782.1	Can2	
WP_118893486.1	Can2	
WP_130190792.1	Can2	
WP_080536479.1	Can2	
WP_038969321.1	Can2	
WP_103175738.1	Can2	
WP_185891644.1	Can2	
WP_017422035.1	Can2	
WP_017790149.1	Can2	
WP_065090198.1	Can2	
WP_102939384.1	Can2	
WP_130271568.1	Can2	
WP_102887322.1	Can2	
WP_101958857.1	Can2	
WP_061778592.1	Can2	
2502570453	Can2	
2581665199	Can2	
2669990543	Can2	
2691339544	Can2	
2743224341	Can2	
2743225886	Can2	
WP_172564569.1	Can2	
WP_202933081.1	Can2	
WP_158133281.1	Can2	
WP_039425151.1	Can2	
WP_039445653.1	Can2	
WP_039464516.1	Can2	
WP_193254576.1	Can2	
WP_029816435.1	Can2	
WP_140258761.1	Can2	
WP_187567272.1	Can2	
WP_140370371.1	Can2	
WP_140300630.1	Can2	
WP_140287664.1	Can2	
WP_101946080.1	Can2	
WP_140094132.1	Can2	
WP_025543154.1	Can2	
WP_140264906.1	Can2	
WP_069535162.1	Can2	
WP_120416567.1	Can2	
WP_071651891.1	Can2	
WP_140117165.1	Can2	
WP_140351559.1	Can2	
WP_077672273.1	Can2	
WP_176296235.1	Can2	
WP_140299247.1	Can2	
WP_005488487.1	Can2	
WP_072875425.1	Can2	
WP_140135711.1	Can2	
WP_029806203.1	Can2	
WP_140340007.1	Can2	
639126927	Can2	
647143346	Can2	
647179163	Can2	
650462445	Can2	
2552957766	Can2	
2615943722	Can2	
2621145425	Can2	
2635945168	Can2	
2636678607	Can2	
2641032484	Can2	
2641451661	Can2	
2647973546	Can2	
2650142546	Can2	
2660315481	Can2	
2663414211	Can2	
2686904098	Can2	
2712256230	Can2	
2714694344	Can2	
2720448965	Can2	
2730896916	Can2	
2774898103	Can2	
WP_158107196.1	Can2	
WP_004726469.1	Can2	
WP_011079953.1	Can2	
WP_005431680.1	Can2	
WP_182053497.1	Can2	
WP_045569009.1	Can2	
WP_024373538.1	Can2	
WP_211916262.1	Can2	
WP_162093689.1	Can2	
WP_005437515.1	Can2	
WP_038866647.1	Can2	
WP_053310107.1	Can2	
WP_009844278.1	Can2	
WP_029788428.1	Can2	
WP_039979075.1	Can2	
WP_192074408.1	Can2	
WP_014231270.1	Can2	
WP_005461150.1	Can2	
WP_047687960.1	Can2	
WP_119463417.1	Can2	
WP_017050397.1	Can2	
WP_013856516.1	Can2	
WP_017048084.1	Can2	
WP_065302132.1	Can2	
WP_099078564.1	Can2	
WP_161154112.1	Can2	
WP_170898590.1	Can2	
WP_170907489.1	Can2	
WP_102940673.1	Can2	
WP_182008251.1	Can2	
WP_005390608.1	Can2	
WP_167413318.1	Can2	
WP_017820008.1	Can2	
WP_171735136.1	Can2	
WP_005378476.1	Can2	
WP_203345762.1	Can2	
WP_206949129.1	Can2	
WP_130546604.1	Can2	
WP_047100876.1	Can2	
WP_064353735.1	Can2	
WP_213871526.1	Can2	
WP_137355824.1	Can2	
WP_110167933.1	Can2	
WP_098416065.1	Can2	
WP_145532307.1	Can2	
WP_170902304.1	Can2	
WP_102563796.1	Can2	
WP_102403919.1	Can2	
WP_004395616.1	Can2	
WP_186459877.1	Can2	
WP_217534523.1	Can2	
WP_154168616.1	Can2	
WP_217518005.1	Can2	
WP_217515131.1	Can2	
WP_217512632.1	Can2	
WP_170904660.1	Can2	
WP_115152711.1	Can2	
WP_171754117.1	Can2	
WP_190331960.1	Can2	
WP_109318117.1	Can2	
WP_195702877.1	Can2	
WP_023404064.1	Can2	
640907008	Can2	
641029689	Can2	
641426859	Can2	
647146429	Can2	
2531866376	Can2	
2538061922	Can2	
2546701330	Can2	
2547489096	Can2	
2549858644	Can2	
2551476761	Can2	
2553886420	Can2	
2562523224	Can2	
2572079035	Can2	
2572514826	Can2	
2581086366	Can2	
2581522643	Can2	
2581541249	Can2	
2581544387	Can2	
2583680406	Can2	
2602092476	Can2	
2629828230	Can2	
2635575368	Can2	
2637165544	Can2	
2637376144	Can2	
2637945891	Can2	
2647225915	Can2	
2649619180	Can2	
2652727843	Can2	
2659955724	Can2	
2664958689	Can2	
2667222508	Can2	
2669887851	Can2	
2674324631	Can2	
2684820331	Can2	
2702731980	Can2	
2702745299	Can2	
2702747389	Can2	
2712273846	Can2	
2718496740	Can2	
2718673130	Can2	
2720762608	Can2	
2728936746	Can2	
2732528511	Can2	
2733386176	Can2	
WP_081233768.1	Can2	
WP_032080286.1	Can2	
WP_202650096.1	Can2	
WP_020430017.1	Can2	
WP_020327805.1	Can2	
WP_045417677.1	Can2	
WP_202646239.1	Can2	
WP_077200961.1	Can2	
WP_202660952.1	Can2	
WP_055453402.1	Can2	
WP_042603741.1	Can2	
WP_061035611.1	Can2	
WP_114322536.1	Can2	
WP_086959226.1	Can2	
WP_089110895.1	Can2	
WP_017024343.1	Can2	
WP_021712985.1	Can2	
2581012656	Can2	
2600841337	Can2	
2807431610	Can2	
WP_021708627.1	Can2	
WP_063345169.1	Can2	
WP_039978188.1	Can2	
WP_105069064.1	Can2	
WP_171373645.1	Can2	
WP_221067859.1	Can2	
WP_128810509.1	Can2	
WP_137372926.1	Can2	
WP_067417325.1	Can2	
WP_073586309.1	Can2	
WP_021710024.1	Can2	
WP_169751157.1	Can2	
2569976616	Can2	
2572924896	Can2	
2637659937	Can2	
2640554943	Can2	
2652912309	Can2	
2654661392	Can2	
2660368499	Can2	
2669300641	Can2	
2702736520	Can2	
2728925617	Can2	
WP_138942210.1	Can2	
WP_020195039.1	Can2	
WP_010447109.1	Can2	
WP_138953860.1	Can2	
WP_017045166.1	Can2	
WP_073602753.1	Can2	
WP_017029720.1	Can2	
WP_102472155.1	Can2	
WP_102360055.1	Can2	
WP_172531966.1	Can2	
WP_171980307.1	Can2	
WP_168522697.1	Can2	
NC_008789.1_643	Can2	
WP_102968136.1	Can2	
WP_042486757.1	Can2	
WP_102962700.1	Can2	
WP_102986849.1	Can2	
WP_119010182.1	Can2	
WP_141268495.1	Can2	
WP_141344131.1	Can2	
WP_081244993.1	Can2	
WP_208874158.1	Can2	
WP_196360322.1	Can2	
WP_194568352.1	Can2	
WP_132714788.1	Can2	
649784219	Can2	
WP_013451733.1	Can2	
NC_015460.1_2268	Can2	
NZ_CP059564.1_2080	Can2	
WP_100629772.1	Can2	
NZ_CP016091.1_36	Can2	
NC_022571.1_24	Can2	
NZ_CP016086.1_24	Can2	
NZ_CP016089.1_24	Can2	
NZ_CP016092.1_24	Can2	
WP_086298002.1	Can2	
NZ_CP035697.1_2369	Can2	
NZ_CP046802.1_14	Can2	
NZ_CP046815.1_2043	Can2	
NZ_CP046848.1_2396	Can2	
2525245183	Can2	
WP_205158346.1	Can2	
WP_084885750.1	Can2	
WP_094788671.1	Can2	
WP_157365384.1	Can2	
NZ_CP031759.1_2328	Can2	
WP_168671021.1	Can2	
NZ_CP011034.1_2503	Can2	
WP_116731816.1	Can2	
2730885506	Can2	
2785390275	Can2	
WP_132229535.1	Can2	
WP_062274354.1	Can2	
WP_011813431.1	Can2	
WP_114617668.1	Can2	
NZ_AP014510.1_258	Can2	
NC_011296.1_63	Can2	
2515343971	Can2	
WP_010421346.1	Can2	
643616690	Can2	
NZ_CP016786.1_28	Can2	
650828609	Can2	
2574286278	Can2	
WP_047046421.1	Can2	
WP_013747060.1	Can2	
WP_039095021.1	Can2	
WP_039084950.1	Can2	
WP_210640803.1	Can2	
WP_039160746.1	Can2	
WP_039149289.1	Can2	
WP_097114469.1	Can2	
WP_109189130.1	Can2	
WP_206283777.1	Can2	
WP_213988460.1	Can2	
NZ_CP026531.1_1004	Can2	
NZ_LT992490.1_963	Can2	
NZ_CP024082.1_961	Can2	
NZ_CP012998.1_1271	Can2	
NZ_CP013014.1_1270	Can2	
NZ_CP042299.1_1298	Can2	
NC_002505.1_1792	Can2	
NC_009457.1_1446	Can2	
NC_012578.1_1701	Can2	
NC_012582.1_1905	Can2	
NC_012668.1_1432	Can2	
NC_016445.1_1311	Can2	
NC_016944.1_1833	Can2	
NZ_AKGH01000001.1_1506	Can2	
NZ_AP014524.1_1638	Can2	
NZ_AP018677.1_984	Can2	
NZ_CM001785.1_1691	Can2	
NZ_CM003111.1_1761	Can2	
NZ_CP006947.1_935	Can2	
NZ_CP007634.1_1308	Can2	
NZ_CP009042.1_1866	Can2	
NZ_CP010811.1_933	Can2	
NZ_CP012667.1_1883	Can2	
NZ_CP013301.1_1772	Can2	
NZ_CP013303.1_1776	Can2	
NZ_CP013305.1_1774	Can2	
NZ_CP013307.1_1399	Can2	
NZ_CP013309.1_2558	Can2	
NZ_CP013311.1_1755	Can2	
NZ_CP013313.1_1798	Can2	
NZ_CP013315.1_955	Can2	
NZ_CP013317.1_1747	Can2	
NZ_CP016324.1_985	Can2	
NZ_CP020408.2_437	Can2	
NZ_CP024162.1_1772	Can2	
NZ_CP024867.1_1598	Can2	
NZ_CP025936.1_1598	Can2	
NZ_CP026647.1_1298	Can2	
NZ_CP028827.1_930	Can2	
NZ_CP028892.1_937	Can2	
NZ_CP028894.1_1602	Can2	
NZ_CP033515.1_933	Can2	
NZ_CP040172.1_935	Can2	
NZ_CP043554.1_888	Can2	
NZ_CP045719.1_1449	Can2	
NZ_CP046736.1_1435	Can2	
NZ_CP046737.1_960	Can2	
NZ_CP046740.1_970	Can2	
NZ_CP046742.1_387	Can2	
NZ_CP046744.1_309	Can2	
NZ_CP046747.1_2134	Can2	
NZ_CP046749.1_1580	Can2	
NZ_CP046839.1_15	Can2	
NZ_CP046840.1_2455	Can2	
NZ_CP046844.1_1456	Can2	
NZ_CP047059.1_932	Can2	
NZ_CP047295.1_933	Can2	
NZ_CP047297.1_937	Can2	
NZ_CP047299.1_931	Can2	
NZ_CP047301.1_931	Can2	
NZ_CP047303.1_975	Can2	
NZ_CP047305.1_927	Can2	
NZ_CP051124.1_2562	Can2	
NZ_CP053744.1_944	Can2	
NZ_CP053794.1_928	Can2	
NZ_CP053796.1_928	Can2	
NZ_CP053798.1_929	Can2	
NZ_CP053802.1_925	Can2	
NZ_CP053804.1_926	Can2	
NZ_CP053806.1_934	Can2	
NZ_CP053808.1_924	Can2	
NZ_CP053816.1_965	Can2	
NZ_CP053820.1_963	Can2	
NZ_CP053822.1_965	Can2	
NZ_CP060094.1_1227	Can2	
NZ_CP063420.1_930	Can2	
NZ_CP064350.1_1564	Can2	
NZ_CP072847.1_1599	Can2	
NZ_CP072849.1_931	Can2	
NZ_LT897797.1_960	Can2	
NZ_LT906614.1_1777	Can2	
NZ_LT907989.1_1777	Can2	
NZ_LT992486.1_930	Can2	
NZ_LT992488.1_930	Can2	
NZ_LT992492.1_930	Can2	
NZ_CP053800.1_930	Can2	
NZ_CP016987.1_944	Can2	
NZ_CP053810.1_932	Can2	
NZ_CP053813.1_930	Can2	
NZ_CP043557.1_1955	Can2	
NZ_CP036499.1_1621	Can2	
NZ_LS997867.1_1544	Can2	
NZ_CP016383.1_1062	Can2	
NZ_CP035682.1_2011	Can2	
NZ_CP046823.1_1908	Can2	
NZ_CP046825.1_1971	Can2	
NZ_CP046846.1_1931	Can2	
NZ_CP014043.2_2391	Can2	
NZ_CP022353.1_782	Can2	
2568549903	Can2	
2711593676	Can2	
2712551810	Can2	
WP_078926249.1	Can2	
WP_164456378.1	Can2	
WP_212904053.1	Can2	
2596238976	Can2	
WP_092729334.1	Can2	
NZ_CP011924.1_554	Can2	
NZ_CP021646.1_2001	Can2	
NZ_CP031761.1_1446	Can2	
2519845426	Can2	
WP_119231533.1	Can2	
WP_065412932.1	Can2	
WP_113067332.1	Can2	
WP_020209801.1	Can2	
2654831931	Can2	
WP_058374088.1	Can2	
NZ_CP068023.1_1284	Can2	
NZ_CP047240.1_1417	Can2	
NZ_CP022522.1_1234	Can2	
NC_006840.2_1517	Can2	
NC_011184.1_1545	Can2	
NZ_CM001400.1_1534	Can2	
NZ_AP018248.1_6406	Can2	
2529392542	Can2	
WP_012545976.1	Can2	
WP_141266345.1	Can2	
WP_068861601.1	Can2	
643374320	Can2	
NC_016024.1_50	Can2	
WP_202710174.1	Can2	
NZ_CP054135.1_329	Can2	
NZ_CP016207.1_1398	Can2	
NZ_CP040231.1_731	Can2	
NZ_CP066041.1_301	Can2	
NZ_AP018338.1_1125	Can2	
NZ_CP019562.1_758	Can2	
NZ_CP066172.1_862	Can2	
NZ_CP069427.1_627	Can2	
NZ_CP066059.1_313	Can2	
NZ_CP023507.1_1030	Can2	
NZ_CP066021.1_93	Can2	
NZ_LR134336.1_697	Can2	
NZ_CP065706.1_908	Can2	
NZ_CP054134.1_1214	Can2	
NZ_CP034442.1_700	Can2	
NC_015291.1_1098	Can2	
NZ_CP058258.1_1002	Can2	
NZ_CP014264.1_985	Can2	
2574470267	Can2	
WP_031433634.1	Can2	
WP_016206994.1	Can2	
WP_045615851.1	Can2	
WP_119864114.1	Can2	
WP_195438541.1	Can2	
637048371	Can2	
640532947	Can2	
640987300	Can2	
640997015	Can2	
641014455	Can2	
641018623	Can2	
641020021	Can2	
641026054	Can2	
643814027	Can2	
643862715	Can2	
645430747	Can2	
645449416	Can2	
645455531	Can2	
645459492	Can2	
645463443	Can2	
645467222	Can2	
645639444	Can2	
646904128	Can2	
647220270	Can2	
647227297	Can2	
647230414	Can2	
647562978	Can2	
651140393	Can2	
2502251136	Can2	
2506336567	Can2	
2511592324	Can2	
2512703420	Can2	
2518623875	Can2	
2522058320	Can2	
2522064341	Can2	
